Number,Short description,Assignment Group,Ticket Type,First Assignment Group,Additional comments (end-user view),Work notes (internal view)
INC0011023,Role permissions incorrect,Payments L2 Support,Service Request,Payments L2 Support,"24-07-2026 20:37:52 - Linda Cox (Additional comments (end-user view))
Understood, following up again if there's no update soon.

24-07-2026 17:11:52 - Linda Cox (Additional comments (end-user view))
Hi team, requesting assistance with the router configuration.","24-07-2026 21:39:52 - Ethan Brooks (Work notes (internal view))
Update applied for the router configuration. Awaiting user confirmation before closing.

24-07-2026 19:26:52 - Ethan Brooks (Work notes (internal view))
Investigation in progress on the router configuration. Will provide an update within SLA.

24-07-2026 17:17:52 - Ethan Brooks (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the router configuration."
INC0011024,KYC document upload failing,Payments L2 Support,Incident,Service Desk,"30-07-2026 19:08:52 - Linda Cox (Additional comments (end-user view))
Completely unacceptable. Escalate this immediately, the purchase order mismatch has been broken for far too long.

30-07-2026 15:11:52 - Linda Cox (Additional comments (end-user view))
This is unacceptable - the purchase order mismatch has failed again and I've been waiting for days.","30-07-2026 20:21:52 - Mei Tan (Work notes (internal view))
Multiple failed attempts to resolve the purchase order mismatch. User is angry and has requested management escalation.

30-07-2026 16:11:52 - Mei Tan (Work notes (internal view))
Ticket was reassigned twice due to unclear ownership of the purchase order mismatch. Escalating internally.

30-07-2026 15:34:52 - Mei Tan (Work notes (internal view))
Acknowledged the request. Reviewing the purchase order mismatch now and will update shortly."
INC0011025,Daily P&L report not generated,Trade Support L2,Incident,Trade Support L2,"02-08-2026 09:49:52 - Nadia Farouk (Additional comments (end-user view))
I'm still not happy - the instance upgrade is still broken and I've been ignored for too long.

02-08-2026 06:11:52 - Nadia Farouk (Additional comments (end-user view))
I'm not happy about how long the instance upgrade has been an issue. This is urgent.","02-08-2026 11:36:52 - Kenji Watanabe (Work notes (internal view))
Fix for the instance upgrade delayed again due to a failed deployment. Apologized to user for the poor experience.

02-08-2026 08:17:52 - Kenji Watanabe (Work notes (internal view))
Investigation delayed due to dependency on another team for the instance upgrade.

02-08-2026 06:23:52 - Kenji Watanabe (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the instance upgrade."
INC0011026,Stale pricing data,Payments L2 Support,Incident,Payments L2 Support,"14-07-2026 15:10:52 - Amy Chen (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the laptop connectivity issue needs to be fixed today.

14-07-2026 12:11:52 - Amy Chen (Additional comments (end-user view))
I'm not happy about how long the laptop connectivity issue has been an issue. This is urgent.","14-07-2026 16:56:52 - Omar Siddiqui (Work notes (internal view))
Fix for the laptop connectivity issue delayed again due to a failed deployment. Apologized to user for the poor experience.

14-07-2026 13:34:52 - Omar Siddiqui (Work notes (internal view))
Issue with the laptop connectivity issue is more complex than expected; still working on it.

14-07-2026 12:46:52 - Omar Siddiqui (Work notes (internal view))
Picked up this ticket. Starting investigation into the laptop connectivity issue."
INC0011027,Mismatch in trade recon,Trade Support L2,Defect,Trade Support L2,"30-07-2026 18:49:52 - Helena Ruiz (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

30-07-2026 14:11:52 - Helena Ruiz (Additional comments (end-user view))
Hi, could someone look into the laptop connectivity issue when you get a chance? Thanks in advance!","30-07-2026 19:17:52 - James Cole (Work notes (internal view))
Resolved. Applied fix for the laptop connectivity issue and confirmed working with the end user. Closing ticket.

30-07-2026 16:30:52 - James Cole (Work notes (internal view))
Found a straightforward fix for the laptop connectivity issue. Deploying shortly.

30-07-2026 14:18:52 - James Cole (Work notes (internal view))
Picked up this ticket. Starting investigation into the laptop connectivity issue."
INC0011028,Risk calculation timeout,L1 Service Desk,Defect,L1 Service Desk,"12-07-2026 22:47:52 - David Kim (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the router configuration needs to be fixed today.

12-07-2026 19:11:52 - David Kim (Additional comments (end-user view))
I'm not happy about how long the router configuration has been an issue. This is urgent.","13-07-2026 00:43:52 - Nadia Rahman (Work notes (internal view))
Workaround provided for the router configuration but underlying issue remains unresolved.

12-07-2026 21:41:52 - Nadia Rahman (Work notes (internal view))
Issue with the router configuration is more complex than expected; still working on it.

12-07-2026 19:26:52 - Nadia Rahman (Work notes (internal view))
Picked up this ticket. Starting investigation into the router configuration."
INC0011029,Daily P&L report not generated,Payments L2 Support,Incident,Payments L2 Support,"14-08-2026 17:03:52 - Tommy Gore (Additional comments (end-user view))
Understood, following up again if there's no update soon.

14-08-2026 10:11:52 - Tommy Gore (Additional comments (end-user view))
Hello, I'm having an issue with the software license renewal. Please advise.","14-08-2026 18:01:52 - Carlos Mendes (Work notes (internal view))
Change implemented for the software license renewal. Monitoring for 24 hours before closure.

14-08-2026 13:20:52 - Carlos Mendes (Work notes (internal view))
Investigation in progress on the software license renewal. Will provide an update within SLA.

14-08-2026 10:45:52 - Carlos Mendes (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the software license renewal."
INC0011030,Scheduled report delayed,Core Banking L3,Defect,Core Banking L3,"09-08-2026 01:01:52 - Helena Ruiz (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the account password policy needs to be fixed today.

08-08-2026 23:11:52 - Helena Ruiz (Additional comments (end-user view))
Hello, the account password policy has been broken for a while now and it's slowing my whole team down.","09-08-2026 02:03:52 - Emily Carter (Work notes (internal view))
Workaround provided for the account password policy but underlying issue remains unresolved.

09-08-2026 00:25:52 - Emily Carter (Work notes (internal view))
Issue with the account password policy is more complex than expected; still working on it.

08-08-2026 23:18:52 - Emily Carter (Work notes (internal view))
Acknowledged the request. Reviewing the account password policy now and will update shortly."
INC0011031,Duplicate payment flagged,Access Management Team,Service Request,Access Management Team,"10-08-2026 19:17:52 - David Kim (Additional comments (end-user view))
That worked perfectly, thank you so much! Really appreciate the quick and professional help.

10-08-2026 15:11:52 - David Kim (Additional comments (end-user view))
Hello, I need help with the network latency. Not urgent, just checking in.","10-08-2026 19:50:52 - Hannah Lee (Work notes (internal view))
Fix deployed and verified for the network latency. User confirmed satisfied. Marking resolved.

10-08-2026 18:08:52 - Hannah Lee (Work notes (internal view))
Found a straightforward fix for the network latency. Deploying shortly.

10-08-2026 15:46:52 - Hannah Lee (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the network latency."
INC0011032,Access request pending approval,Core Banking L3,Service Request,Core Banking L3,"13-08-2026 22:10:52 - Marcus Webb (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

13-08-2026 17:11:52 - Marcus Webb (Additional comments (end-user view))
Hi, could someone look into the password reset request when you get a chance? Thanks in advance!","13-08-2026 23:57:52 - Noah Williams (Work notes (internal view))
Fix deployed and verified for the password reset request. User confirmed satisfied. Marking resolved.

13-08-2026 20:34:52 - Noah Williams (Work notes (internal view))
Root cause identified quickly. Applying the fix for the password reset request now.

13-08-2026 17:35:52 - Noah Williams (Work notes (internal view))
Acknowledged the request. Reviewing the password reset request now and will update shortly."
INC0011033,Compliance check flagged false positive,Trade Support L2,Service Request,ACME Support,"22-07-2026 13:37:52 - Helena Ruiz (Additional comments (end-user view))
Completely unacceptable. Escalate this immediately, the network latency has been broken for far too long.

22-07-2026 08:11:52 - Helena Ruiz (Additional comments (end-user view))
This is unacceptable - the network latency has failed again and I've been waiting for days.","22-07-2026 15:14:52 - Sofia Rossi (Work notes (internal view))
Multiple failed attempts to resolve the network latency. User is angry and has requested management escalation.

22-07-2026 11:31:52 - Sofia Rossi (Work notes (internal view))
Repeated attempts to resolve the network latency have failed. Escalating to L3 / senior engineer.

22-07-2026 08:48:52 - Sofia Rossi (Work notes (internal view))
Picked up this ticket. Starting investigation into the network latency."
INC0011034,Recon job failed overnight,Trade Support L2,Defect,ACME Support,"19-08-2026 01:09:52 - Helena Ruiz (Additional comments (end-user view))
This has failed again. I am furious - the VPN connection is critical and this is the worst support I've received.

18-08-2026 22:11:52 - Helena Ruiz (Additional comments (end-user view))
This is the worst support experience I've had. the VPN connection keeps failing and I'm furious about the delay.","19-08-2026 01:43:52 - Priya Sharma (Work notes (internal view))
Critical issue with the VPN connection still unresolved after repeated escalation. SLA breached.

18-08-2026 23:47:52 - Priya Sharma (Work notes (internal view))
Repeated attempts to resolve the VPN connection have failed. Escalating to L3 / senior engineer.

18-08-2026 22:20:52 - Priya Sharma (Work notes (internal view))
Picked up this ticket. Starting investigation into the VPN connection."
INC0011035,Access request pending approval,Risk & Compliance Ops,Incident,Risk & Compliance Ops,"20-07-2026 13:39:52 - Andrew Chen (Additional comments (end-user view))
Okay, please keep me posted on the instance upgrade.

20-07-2026 07:11:52 - Andrew Chen (Additional comments (end-user view))
Good day, raising this ticket regarding the instance upgrade.","20-07-2026 14:40:52 - Kenji Watanabe (Work notes (internal view))
Update applied for the instance upgrade. Awaiting user confirmation before closing.

20-07-2026 10:00:52 - Kenji Watanabe (Work notes (internal view))
Investigation in progress on the instance upgrade. Will provide an update within SLA.

20-07-2026 07:16:52 - Kenji Watanabe (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the instance upgrade."
INC0011036,Recon job failed overnight,Trade Support L2,Defect,Network Support,"21-07-2026 17:13:52 - Marcus Webb (Additional comments (end-user view))
This has failed again. I am furious - the wifi access point is critical and this is the worst support I've received.

21-07-2026 10:11:52 - Marcus Webb (Additional comments (end-user view))
This is unacceptable - the wifi access point has failed again and I've been waiting for days.","21-07-2026 18:25:52 - Priya Sharma (Work notes (internal view))
Multiple failed attempts to resolve the wifi access point. User is angry and has requested management escalation.

21-07-2026 13:19:52 - Priya Sharma (Work notes (internal view))
Ticket was reassigned twice due to unclear ownership of the wifi access point. Escalating internally.

21-07-2026 10:33:52 - Priya Sharma (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the wifi access point."
INC0011037,Daily P&L report not generated,L1 Service Desk,Service Request,L1 Service Desk,"09-07-2026 17:36:52 - David Kim (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

09-07-2026 14:11:52 - David Kim (Additional comments (end-user view))
Hi team, quick question about the network latency - hoping for a fast turnaround.","09-07-2026 19:01:52 - Chloe Martin (Work notes (internal view))
Fix deployed and verified for the network latency. User confirmed satisfied. Marking resolved.

09-07-2026 16:56:52 - Chloe Martin (Work notes (internal view))
Root cause identified quickly. Applying the fix for the network latency now.

09-07-2026 14:30:52 - Chloe Martin (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the network latency."
INC0011038,Role permissions incorrect,Payments L2 Support,Defect,Payments L2 Support,"14-07-2026 10:02:52 - Andrew Chen (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the router configuration needs to be fixed today.

14-07-2026 07:11:52 - Andrew Chen (Additional comments (end-user view))
Hi, this is the second time I'm reporting the router configuration. It's really frustrating.","14-07-2026 11:31:52 - Noah Williams (Work notes (internal view))
Workaround provided for the router configuration but underlying issue remains unresolved.

14-07-2026 08:34:52 - Noah Williams (Work notes (internal view))
Investigation delayed due to dependency on another team for the router configuration.

14-07-2026 07:49:52 - Noah Williams (Work notes (internal view))
Picked up this ticket. Starting investigation into the router configuration."
INC0011039,New client account setup delayed,L1 Service Desk,Service Request,Billing Support,"24-08-2026 01:15:52 - Helena Ruiz (Additional comments (end-user view))
This has failed again. I am furious - the VPN connection is critical and this is the worst support I've received.

23-08-2026 20:11:52 - Helena Ruiz (Additional comments (end-user view))
I'm extremely frustrated. the VPN connection is still broken and nobody has responded. Please escalate.","24-08-2026 02:30:52 - Hannah Lee (Work notes (internal view))
Multiple failed attempts to resolve the VPN connection. User is angry and has requested management escalation.

23-08-2026 22:52:52 - Hannah Lee (Work notes (internal view))
Ticket was reassigned twice due to unclear ownership of the VPN connection. Escalating internally.

23-08-2026 20:20:52 - Hannah Lee (Work notes (internal view))
Acknowledged the request. Reviewing the VPN connection now and will update shortly."
INC0011040,Role permissions incorrect,Core Banking L3,Incident,Core Banking L3,"24-07-2026 13:10:52 - Owen Blake (Additional comments (end-user view))
Understood, following up again if there's no update soon.

24-07-2026 07:11:52 - Owen Blake (Additional comments (end-user view))
Good day, raising this ticket regarding the email service outage.","24-07-2026 15:04:52 - Ethan Brooks (Work notes (internal view))
Update applied for the email service outage. Awaiting user confirmation before closing.

24-07-2026 09:36:52 - Ethan Brooks (Work notes (internal view))
Investigation in progress on the email service outage. Will provide an update within SLA.

24-07-2026 07:16:52 - Ethan Brooks (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the email service outage."
INC0011041,Duplicate payment flagged,Trade Support L2,Service Request,Trade Support L2,"09-07-2026 22:22:52 - Nadia Farouk (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the instance upgrade needs to be fixed today.

09-07-2026 17:11:52 - Nadia Farouk (Additional comments (end-user view))
Hi, this is the second time I'm reporting the instance upgrade. It's really frustrating.","09-07-2026 23:19:52 - Liam O'Connor (Work notes (internal view))
Workaround provided for the instance upgrade but underlying issue remains unresolved.

09-07-2026 19:11:52 - Liam O'Connor (Work notes (internal view))
Issue with the instance upgrade is more complex than expected; still working on it.

09-07-2026 17:32:52 - Liam O'Connor (Work notes (internal view))
Picked up this ticket. Starting investigation into the instance upgrade."
INC0011042,Risk calculation timeout,Access Management Team,Defect,Access Management Team,"11-08-2026 23:40:52 - Owen Blake (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

11-08-2026 17:11:52 - Owen Blake (Additional comments (end-user view))
Hi team, quick question about the wifi access point - hoping for a fast turnaround.","12-08-2026 00:09:52 - Nadia Rahman (Work notes (internal view))
Resolved. Applied fix for the wifi access point and confirmed working with the end user. Closing ticket.

11-08-2026 20:30:52 - Nadia Rahman (Work notes (internal view))
Found a straightforward fix for the wifi access point. Deploying shortly.

11-08-2026 17:37:52 - Nadia Rahman (Work notes (internal view))
Picked up this ticket. Starting investigation into the wifi access point."
INC0011043,Trade amendment not syncing,Access Management Team,Service Request,Billing Support,"30-08-2026 08:46:52 - Helena Ruiz (Additional comments (end-user view))
Completely unacceptable. Escalate this immediately, the wifi access point has been broken for far too long.

30-08-2026 03:11:52 - Helena Ruiz (Additional comments (end-user view))
I'm extremely frustrated. the wifi access point is still broken and nobody has responded. Please escalate.","30-08-2026 10:27:52 - Omar Siddiqui (Work notes (internal view))
Critical issue with the wifi access point still unresolved after repeated escalation. SLA breached.

30-08-2026 05:02:52 - Omar Siddiqui (Work notes (internal view))
Ticket was reassigned twice due to unclear ownership of the wifi access point. Escalating internally.

30-08-2026 03:47:52 - Omar Siddiqui (Work notes (internal view))
Acknowledged the request. Reviewing the wifi access point now and will update shortly."
INC0011044,KYC document upload failing,Core Banking L3,Defect,Core Banking L3,"08-08-2026 21:24:52 - Helena Ruiz (Additional comments (end-user view))
I'm still not happy - the billing invoice discrepancy is still broken and I've been ignored for too long.

08-08-2026 17:11:52 - Helena Ruiz (Additional comments (end-user view))
Hi, this is the second time I'm reporting the billing invoice discrepancy. It's really frustrating.","08-08-2026 22:19:52 - Mei Tan (Work notes (internal view))
Workaround provided for the billing invoice discrepancy but underlying issue remains unresolved.

08-08-2026 18:46:52 - Mei Tan (Work notes (internal view))
Issue with the billing invoice discrepancy is more complex than expected; still working on it.

08-08-2026 17:22:52 - Mei Tan (Work notes (internal view))
Acknowledged the request. Reviewing the billing invoice discrepancy now and will update shortly."
INC0011045,Payment batch failed to post,Risk & Compliance Ops,Incident,Network Support,"18-07-2026 09:21:52 - Andrew Chen (Additional comments (end-user view))
Completely unacceptable. Escalate this immediately, the password reset request has been broken for far too long.

18-07-2026 04:11:52 - Andrew Chen (Additional comments (end-user view))
This is the worst support experience I've had. the password reset request keeps failing and I'm furious about the delay.","18-07-2026 11:16:52 - Aisha Khan (Work notes (internal view))
Multiple failed attempts to resolve the password reset request. User is angry and has requested management escalation.

18-07-2026 05:35:52 - Aisha Khan (Work notes (internal view))
Ticket was reassigned twice due to unclear ownership of the password reset request. Escalating internally.

18-07-2026 04:25:52 - Aisha Khan (Work notes (internal view))
Picked up this ticket. Starting investigation into the password reset request."
INC0011046,Trade booking rejected by risk engine,L1 Service Desk,Defect,L1 Service Desk,"19-07-2026 11:57:52 - Nadia Farouk (Additional comments (end-user view))
Understood, following up again if there's no update soon.

19-07-2026 08:11:52 - Nadia Farouk (Additional comments (end-user view))
Hi team, requesting assistance with the wifi access point.","19-07-2026 12:50:52 - Carlos Mendes (Work notes (internal view))
Change implemented for the wifi access point. Monitoring for 24 hours before closure.

19-07-2026 10:20:52 - Carlos Mendes (Work notes (internal view))
Investigation in progress on the wifi access point. Will provide an update within SLA.

19-07-2026 08:42:52 - Carlos Mendes (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the wifi access point."
INC0011047,Risk limit breach not alerting,Payments L2 Support,Incident,Payments L2 Support,"11-08-2026 09:47:52 - Linda Cox (Additional comments (end-user view))
I'm still not happy - the software license renewal is still broken and I've been ignored for too long.

11-08-2026 03:11:52 - Linda Cox (Additional comments (end-user view))
Hello, the software license renewal has been broken for a while now and it's slowing my whole team down.","11-08-2026 10:02:52 - Hannah Lee (Work notes (internal view))
Workaround provided for the software license renewal but underlying issue remains unresolved.

11-08-2026 06:02:52 - Hannah Lee (Work notes (internal view))
Issue with the software license renewal is more complex than expected; still working on it.

11-08-2026 03:44:52 - Hannah Lee (Work notes (internal view))
Picked up this ticket. Starting investigation into the software license renewal."
INC0011048,VaR report incorrect,Payments L2 Support,Service Request,Payments L2 Support,"04-08-2026 07:13:52 - Amy Chen (Additional comments (end-user view))
I'm still not happy - the billing invoice discrepancy is still broken and I've been ignored for too long.

04-08-2026 02:11:52 - Amy Chen (Additional comments (end-user view))
Hello, the billing invoice discrepancy has been broken for a while now and it's slowing my whole team down.","04-08-2026 08:05:52 - Chloe Martin (Work notes (internal view))
Workaround provided for the billing invoice discrepancy but underlying issue remains unresolved.

04-08-2026 03:54:52 - Chloe Martin (Work notes (internal view))
Investigation delayed due to dependency on another team for the billing invoice discrepancy.

04-08-2026 02:33:52 - Chloe Martin (Work notes (internal view))
Acknowledged the request. Reviewing the billing invoice discrepancy now and will update shortly."
INC0011049,VaR report incorrect,Trade Support L2,Incident,Trade Support L2,"10-08-2026 05:20:52 - Amy Chen (Additional comments (end-user view))
I'm still not happy - the purchase order mismatch is still broken and I've been ignored for too long.

10-08-2026 00:11:52 - Amy Chen (Additional comments (end-user view))
I'm not happy about how long the purchase order mismatch has been an issue. This is urgent.","10-08-2026 06:10:52 - Maria Silva (Work notes (internal view))
Fix for the purchase order mismatch delayed again due to a failed deployment. Apologized to user for the poor experience.

10-08-2026 02:12:52 - Maria Silva (Work notes (internal view))
Investigation delayed due to dependency on another team for the purchase order mismatch.

10-08-2026 00:51:52 - Maria Silva (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the purchase order mismatch."
INC0011050,Booking screen unresponsive,Trade Support L2,Service Request,Trade Support L2,"15-08-2026 12:28:52 - Andrew Chen (Additional comments (end-user view))
Understood, following up again if there's no update soon.

15-08-2026 08:11:52 - Andrew Chen (Additional comments (end-user view))
Good day, raising this ticket regarding the instance upgrade.","15-08-2026 14:00:52 - Sofia Rossi (Work notes (internal view))
Change implemented for the instance upgrade. Monitoring for 24 hours before closure.

15-08-2026 10:55:52 - Sofia Rossi (Work notes (internal view))
Gathering more details on the instance upgrade before proceeding.

15-08-2026 08:46:52 - Sofia Rossi (Work notes (internal view))
Acknowledged the request. Reviewing the instance upgrade now and will update shortly."
INC0011051,Audit trail gap,Payments L2 Support,Service Request,Payments L2 Support,"24-08-2026 16:51:52 - Amy Chen (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the email service outage needs to be fixed today.

24-08-2026 12:11:52 - Amy Chen (Additional comments (end-user view))
I'm not happy about how long the email service outage has been an issue. This is urgent.","24-08-2026 18:41:52 - Emily Carter (Work notes (internal view))
Fix for the email service outage delayed again due to a failed deployment. Apologized to user for the poor experience.

24-08-2026 14:21:52 - Emily Carter (Work notes (internal view))
Investigation delayed due to dependency on another team for the email service outage.

24-08-2026 12:39:52 - Emily Carter (Work notes (internal view))
Picked up this ticket. Starting investigation into the email service outage."
INC0011052,Payment gateway timeout,Trade Support L2,Incident,Trade Support L2,"11-07-2026 18:18:52 - Sara Ibrahim (Additional comments (end-user view))
Okay, please keep me posted on the billing invoice discrepancy.

11-07-2026 14:11:52 - Sara Ibrahim (Additional comments (end-user view))
Hello, I'm having an issue with the billing invoice discrepancy. Please advise.","11-07-2026 19:14:52 - Sofia Rossi (Work notes (internal view))
Change implemented for the billing invoice discrepancy. Monitoring for 24 hours before closure.

11-07-2026 15:56:52 - Sofia Rossi (Work notes (internal view))
Investigation in progress on the billing invoice discrepancy. Will provide an update within SLA.

11-07-2026 14:35:52 - Sofia Rossi (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the billing invoice discrepancy."
INC0011053,Audit trail gap,Core Banking L3,Service Request,Core Banking L3,"28-07-2026 08:17:52 - Owen Blake (Additional comments (end-user view))
I'm still not happy - the billing invoice discrepancy is still broken and I've been ignored for too long.

28-07-2026 04:11:52 - Owen Blake (Additional comments (end-user view))
Hi, this is the second time I'm reporting the billing invoice discrepancy. It's really frustrating.","28-07-2026 09:31:52 - Omar Siddiqui (Work notes (internal view))
Fix for the billing invoice discrepancy delayed again due to a failed deployment. Apologized to user for the poor experience.

28-07-2026 07:00:52 - Omar Siddiqui (Work notes (internal view))
Investigation delayed due to dependency on another team for the billing invoice discrepancy.

28-07-2026 04:36:52 - Omar Siddiqui (Work notes (internal view))
Picked up this ticket. Starting investigation into the billing invoice discrepancy."
INC0011054,Data vendor connectivity issue,Trade Support L2,Service Request,Trade Support L2,"07-08-2026 05:07:52 - Helena Ruiz (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

07-08-2026 03:11:52 - Helena Ruiz (Additional comments (end-user view))
Hello, I need help with the software license renewal. Not urgent, just checking in.","07-08-2026 06:16:52 - Maria Silva (Work notes (internal view))
Fix deployed and verified for the software license renewal. User confirmed satisfied. Marking resolved.

07-08-2026 04:07:52 - Maria Silva (Work notes (internal view))
Root cause identified quickly. Applying the fix for the software license renewal now.

07-08-2026 03:32:52 - Maria Silva (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the software license renewal."
INC0011055,Report export returns blank file,L1 Service Desk,Incident,L1 Service Desk,"10-07-2026 16:11:52 - Helena Ruiz (Additional comments (end-user view))
I'm still not happy - the VPN connection is still broken and I've been ignored for too long.

10-07-2026 12:11:52 - Helena Ruiz (Additional comments (end-user view))
I'm not happy about how long the VPN connection has been an issue. This is urgent.","10-07-2026 18:07:52 - Noah Williams (Work notes (internal view))
Workaround provided for the VPN connection but underlying issue remains unresolved.

10-07-2026 15:33:52 - Noah Williams (Work notes (internal view))
Issue with the VPN connection is more complex than expected; still working on it.

10-07-2026 12:39:52 - Noah Williams (Work notes (internal view))
Acknowledged the request. Reviewing the VPN connection now and will update shortly."
INC0011056,Mismatch in trade recon,Trade Support L2,Defect,Trade Support L2,"25-07-2026 08:13:52 - David Kim (Additional comments (end-user view))
Still waiting and this delay is unacceptable. the software license renewal needs to be fixed today.

25-07-2026 03:11:52 - David Kim (Additional comments (end-user view))
Hi, this is the second time I'm reporting the software license renewal. It's really frustrating.","25-07-2026 09:41:52 - Daniel Cho (Work notes (internal view))
Workaround provided for the software license renewal but underlying issue remains unresolved.

25-07-2026 04:19:52 - Daniel Cho (Work notes (internal view))
Investigation delayed due to dependency on another team for the software license renewal.

25-07-2026 03:21:52 - Daniel Cho (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the software license renewal."
INC0011057,KYC document upload failing,Access Management Team,Service Request,Access Management Team,"20-07-2026 13:14:52 - Nadia Farouk (Additional comments (end-user view))
I'm still not happy - the network latency is still broken and I've been ignored for too long.

20-07-2026 07:11:52 - Nadia Farouk (Additional comments (end-user view))
Hello, the network latency has been broken for a while now and it's slowing my whole team down.","20-07-2026 13:38:52 - Hannah Lee (Work notes (internal view))
Fix for the network latency delayed again due to a failed deployment. Apologized to user for the poor experience.

20-07-2026 09:58:52 - Hannah Lee (Work notes (internal view))
Investigation delayed due to dependency on another team for the network latency.

20-07-2026 07:33:52 - Hannah Lee (Work notes (internal view))
Picked up this ticket. Starting investigation into the network latency."
INC0011058,User locked out of application,Risk & Compliance Ops,Service Request,Risk & Compliance Ops,"09-08-2026 02:26:52 - Nadia Farouk (Additional comments (end-user view))
Understood, following up again if there's no update soon.

08-08-2026 23:11:52 - Nadia Farouk (Additional comments (end-user view))
Good day, raising this ticket regarding the software license renewal.","09-08-2026 02:43:52 - Daniel Cho (Work notes (internal view))
Update applied for the software license renewal. Awaiting user confirmation before closing.

09-08-2026 01:55:52 - Daniel Cho (Work notes (internal view))
Gathering more details on the software license renewal before proceeding.

08-08-2026 23:43:52 - Daniel Cho (Work notes (internal view))
Acknowledged the request. Reviewing the software license renewal now and will update shortly."
INC0011059,User locked out of application,L1 Service Desk,Service Request,L1 Service Desk,"10-08-2026 06:50:52 - Tommy Gore (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

10-08-2026 00:11:52 - Tommy Gore (Additional comments (end-user view))
Hi, could someone look into the password reset request when you get a chance? Thanks in advance!","10-08-2026 08:36:52 - Ethan Brooks (Work notes (internal view))
Resolved. Applied fix for the password reset request and confirmed working with the end user. Closing ticket.

10-08-2026 03:03:52 - Ethan Brooks (Work notes (internal view))
Root cause identified quickly. Applying the fix for the password reset request now.

10-08-2026 00:36:52 - Ethan Brooks (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the password reset request."
INC0011060,Report export returns blank file,L1 Service Desk,Defect,L1 Service Desk,"12-07-2026 12:45:52 - Tommy Gore (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

12-07-2026 09:11:52 - Tommy Gore (Additional comments (end-user view))
Hi team, quick question about the billing invoice discrepancy - hoping for a fast turnaround.","12-07-2026 13:08:52 - Arjun Mehta (Work notes (internal view))
Fix deployed and verified for the billing invoice discrepancy. User confirmed satisfied. Marking resolved.

12-07-2026 09:57:52 - Arjun Mehta (Work notes (internal view))
Root cause identified quickly. Applying the fix for the billing invoice discrepancy now.

12-07-2026 09:17:52 - Arjun Mehta (Work notes (internal view))
Assigned to me. Checking logs and configuration related to the billing invoice discrepancy."
INC0011061,Market data feed dropped,Core Banking L3,Defect,Core Banking L3,"02-07-2026 09:30:52 - Sara Ibrahim (Additional comments (end-user view))
I'm still not happy - the password reset request is still broken and I've been ignored for too long.

02-07-2026 06:11:52 - Sara Ibrahim (Additional comments (end-user view))
Hello, the password reset request has been broken for a while now and it's slowing my whole team down.","02-07-2026 09:48:52 - Carlos Mendes (Work notes (internal view))
Fix for the password reset request delayed again due to a failed deployment. Apologized to user for the poor experience.

02-07-2026 08:05:52 - Carlos Mendes (Work notes (internal view))
Investigation delayed due to dependency on another team for the password reset request.

02-07-2026 06:26:52 - Carlos Mendes (Work notes (internal view))
Picked up this ticket. Starting investigation into the password reset request."
INC0011062,Risk limit breach not alerting,Trade Support L2,Service Request,Trade Support L2,"23-08-2026 04:33:52 - Helena Ruiz (Additional comments (end-user view))
Confirmed fixed on my end - excellent and fast service, thanks team!

23-08-2026 01:11:52 - Helena Ruiz (Additional comments (end-user view))
Hi, could someone look into the software license renewal when you get a chance? Thanks in advance!","23-08-2026 05:13:52 - Kenji Watanabe (Work notes (internal view))
Resolved. Applied fix for the software license renewal and confirmed working with the end user. Closing ticket.

23-08-2026 02:11:52 - Kenji Watanabe (Work notes (internal view))
Found a straightforward fix for the software license renewal. Deploying shortly.

23-08-2026 01:29:52 - Kenji Watanabe (Work notes (internal view))
Picked up this ticket. Starting investigation into the software license renewal."
